TITULO,CODIGO INMUEBLE,ÁREA PRIVADA,ÁREA CONSTRUÍDA,PRECIO POR M²,ESTRATO,ANTIGUEDAD,HABITACIONES,BAÑOS,PARQUEADEROS,BARRIO,DIRECCIÓN,PRECIO
Casa en venta,7724940,60 m²,131.4m²,1902587,2,9 a 15 años,5,2,1,Engativá - Bogotá,Preguntar al anunciante,249999931
Casa en venta,7871056,76 m²,82.0m²,2073170,2,9 a 15 años,4,2,0,Engativá - Bogotá,Preguntar al anunciante,169999940
Casa en venta,7244662,0 m²,180.0m²,3444444,3,más de 30 años,4,4,1,Engativá - Bogotá,Preguntar al anunciante,619999920
Casa en venta,7290776,144 m²,144.0m²,3263888,3,Sin información,4,3,0,Engativá - Bogotá,Preguntar al anunciante,469999872
Apartamento en venta,7798610,42 m²,42.0m²,3285714,2,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,137999988
Casa en venta,8012072,72 m²,72.0m²,4583333,3,16 a 30 años,4,2,1,Engativá - Bogotá,Preguntar al anunciante,329999976
Casa en venta,6797865,266 m²,266.0m²,1691729,2,más de 30 años,6,3,1,Engativá - Bogotá,Preguntar al anunciante,449999914
Casa en venta,7334919,224 m²,224.0m²,1495535,2,9 a 15 años,5,3,1,Engativá - Bogotá,Preguntar al anunciante,334999840
Casa en venta,7638689,290 m²,290.0m²,2000000,2,16 a 30 años,15,8,1,Engativá - Bogotá,Preguntar al anunciante,580000000
Apartamento en venta,7751712,0 m²,47.0m²,5319148,4,9 a 15 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,249999956
Apartamento en venta,7986192,47 m²,47.0m²,3829787,3,16 a 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,179999989
Casa en venta,7866782,220 m²,240.0m²,1875000,2,más de 30 años,8,4,2,Engativá - Bogotá,Preguntar al anunciante,450000000
Casa en venta,6954824,144 m²,144.0m²,2430555,2,9 a 15 años,3,2,2,Engativá - Bogotá,Preguntar al anunciante,349999920
Casa en venta,7695140,0 m²,100.0m²,3500000,3,más de 30 años,4,2,1,Engativá - Bogotá,Preguntar al anunciante,350000000
Apartamento en venta,8006715,40 m²,46.0m²,4782608,2,1 a 8 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,219999968
Apartamento en venta,8013316,65 m²,65.0m²,4292307,4,9 a 15 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,278999955
Apartamento en venta,8015835,47 m²,47.0m²,3361702,2,9 a 15 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,157999994
Apartamento en venta,8016340,64 m²,64.0m²,3437500,3,16 a 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,220000000
Apartamento en venta,8016238,33 m²,32.0m²,4687500,2,1 a 8 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,150000000
Apartamento en venta,7745146,0 m²,50.0m²,3460000,3,1 a 8 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,173000000
Apartamento en venta,7842599,66 m²,71.0m²,4084507,3,1 a 8 años,2,2,1,Engativá - Bogotá,Preguntar al anunciante,289999997
Apartamento en venta,7523346,0 m²,52.0m²,3750000,3,9 a 15 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,195000000
